Date,RATE A,RATE B,RATE C,Load
04/01/2023 08.45,0.0,254.0,0.0,254.0
04/01/2023 09.00,252.0,0.0,0.0,252.0
04/01/2023 09.15,252.0,0.0,0.0,252.0
04/01/2023 09.30,266.0,0.0,0.0,266.0
04/01/2023 09.45,440.0,0.0,0.0,440.0
04/01/2023 10.00,438.0,0.0,0.0,438.0
04/01/2023 10.15,438.0,0.0,0.0,438.0
04/01/2023 10.30,438.0,0.0,0.0,438.0
04/01/2023 10.45,438.0,0.0,0.0,438.0
04/01/2023 11.00,438.0,0.0,0.0,438.0
04/01/2023 11.15,438.0,0.0,0.0,438.0
04/01/2023 11.30,438.0,0.0,0.0,438.0
04/01/2023 11.45,440.0,0.0,0.0,440.0
04/01/2023 12.00,440.0,0.0,0.0,440.0
04/01/2023 12.15,380.0,0.0,0.0,380.0
04/01/2023 12.30,252.0,0.0,0.0,252.0
04/01/2023 12.45,252.0,0.0,0.0,252.0
04/01/2023 13.00,252.0,0.0,0.0,252.0
04/01/2023 13.15,252.0,0.0,0.0,252.0
04/01/2023 13.30,252.0,0.0,0.0,252.0
04/01/2023 13.45,252.0,0.0,0.0,252.0
04/01/2023 14.00,252.0,0.0,0.0,252.0
04/01/2023 14.15,290.0,0.0,0.0,290.0
04/01/2023 14.30,312.0,0.0,0.0,312.0
04/01/2023 14.45,274.0,0.0,0.0,274.0
04/01/2023 15.00,252.0,0.0,0.0,252.0
04/01/2023 15.15,252.0,0.0,0.0,252.0
04/01/2023 15.30,252.0,0.0,0.0,252.0
04/01/2023 15.45,252.0,0.0,0.0,252.0
04/01/2023 16.00,252.0,0.0,0.0,252.0
04/01/2023 16.15,254.0,0.0,0.0,254.0
04/01/2023 16.30,252.0,0.0,0.0,252.0
04/01/2023 16.45,252.0,0.0,0.0,252.0
04/01/2023 17.00,252.0,0.0,0.0,252.0
04/01/2023 17.15,194.0,0.0,0.0,194.0
04/01/2023 17.30,184.0,0.0,0.0,184.0
04/01/2023 17.45,218.0,0.0,0.0,218.0
04/01/2023 18.00,254.0,0.0,0.0,254.0
04/01/2023 18.15,252.0,0.0,0.0,252.0
04/01/2023 18.30,174.0,0.0,0.0,174.0
04/01/2023 18.45,176.0,0.0,0.0,176.0
04/01/2023 19.00,176.0,0.0,0.0,176.0
04/01/2023 19.15,176.0,0.0,0.0,176.0
04/01/2023 19.30,176.0,0.0,0.0,176.0
04/01/2023 19.45,176.0,0.0,0.0,176.0
04/01/2023 20.00,176.0,0.0,0.0,176.0
04/01/2023 20.15,176.0,0.0,0.0,176.0
04/01/2023 20.30,176.0,0.0,0.0,176.0
04/01/2023 20.45,176.0,0.0,0.0,176.0
04/01/2023 21.00,176.0,0.0,0.0,176.0
04/01/2023 21.15,176.0,0.0,0.0,176.0
04/01/2023 21.30,176.0,0.0,0.0,176.0
04/01/2023 21.45,236.0,0.0,0.0,236.0
04/01/2023 22.00,0.0,256.0,0.0,256.0
04/01/2023 22.15,0.0,256.0,0.0,256.0
04/01/2023 22.30,0.0,256.0,0.0,256.0
04/01/2023 22.45,0.0,256.0,0.0,256.0
04/01/2023 23.00,0.0,256.0,0.0,256.0
04/01/2023 23.15,0.0,256.0,0.0,256.0
04/01/2023 23.30,0.0,256.0,0.0,256.0
04/01/2023 23.45,0.0,256.0,0.0,256.0
05/01/2023 00.00,0.0,256.0,0.0,256.0
05/01/2023 00.15,0.0,256.0,0.0,256.0
05/01/2023 00.30,0.0,254.0,0.0,254.0
05/01/2023 00.45,0.0,256.0,0.0,256.0
05/01/2023 01.00,0.0,256.0,0.0,256.0
05/01/2023 01.15,0.0,256.0,0.0,256.0
05/01/2023 01.30,0.0,256.0,0.0,256.0
05/01/2023 01.45,0.0,222.0,0.0,222.0
05/01/2023 02.00,0.0,176.0,0.0,176.0
05/01/2023 02.15,0.0,174.0,0.0,174.0
05/01/2023 02.30,0.0,176.0,0.0,176.0
05/01/2023 02.45,0.0,174.0,0.0,174.0
05/01/2023 03.00,0.0,174.0,0.0,174.0
05/01/2023 03.15,0.0,176.0,0.0,176.0
05/01/2023 03.30,0.0,198.0,0.0,198.0
05/01/2023 03.45,0.0,256.0,0.0,256.0
05/01/2023 04.00,0.0,256.0,0.0,256.0
05/01/2023 04.15,0.0,256.0,0.0,256.0
05/01/2023 04.30,0.0,256.0,0.0,256.0
05/01/2023 04.45,0.0,256.0,0.0,256.0
05/01/2023 05.00,0.0,242.0,0.0,242.0
05/01/2023 05.15,0.0,192.0,0.0,192.0
05/01/2023 05.30,0.0,226.0,0.0,226.0
05/01/2023 05.45,0.0,340.0,0.0,340.0
05/01/2023 06.00,0.0,440.0,0.0,440.0
05/01/2023 06.15,0.0,440.0,0.0,440.0
05/01/2023 06.30,0.0,440.0,0.0,440.0
05/01/2023 06.45,0.0,440.0,0.0,440.0
05/01/2023 07.00,0.0,440.0,0.0,440.0
05/01/2023 07.15,0.0,440.0,0.0,440.0
05/01/2023 07.30,0.0,440.0,0.0,440.0
05/01/2023 07.45,0.0,440.0,0.0,440.0
05/01/2023 08.00,0.0,438.0,0.0,438.0
05/01/2023 08.15,0.0,396.0,0.0,396.0
05/01/2023 08.30,0.0,252.0,0.0,252.0
05/01/2023 08.45,0.0,254.0,0.0,254.0
05/01/2023 09.00,254.0,0.0,0.0,254.0
05/01/2023 09.15,254.0,0.0,0.0,254.0
05/01/2023 09.30,252.0,0.0,0.0,252.0
05/01/2023 09.45,252.0,0.0,0.0,252.0
05/01/2023 10.00,252.0,0.0,0.0,252.0
05/01/2023 10.15,252.0,0.0,0.0,252.0
05/01/2023 10.30,252.0,0.0,0.0,252.0
05/01/2023 10.45,252.0,0.0,0.0,252.0
05/01/2023 11.00,252.0,0.0,0.0,252.0
05/01/2023 11.15,252.0,0.0,0.0,252.0
05/01/2023 11.30,252.0,0.0,0.0,252.0
05/01/2023 11.45,252.0,0.0,0.0,252.0
05/01/2023 12.00,252.0,0.0,0.0,252.0
05/01/2023 12.15,252.0,0.0,0.0,252.0
