timestamp,RATE A,RATE B,RATE C,load
2023-01-03 14:30:00,92.32,0.0,0.0,92.32
2023-01-03 14:45:00,93.78,0.0,0.0,93.78
2023-01-03 15:00:00,98.57,0.0,0.0,98.57
2023-01-03 15:15:00,94.2,0.0,0.0,94.2
2023-01-03 15:30:00,92.99,0.0,0.0,92.99
2023-01-03 15:45:00,92.14,0.0,0.0,92.14
2023-01-03 16:00:00,90.12,0.0,0.0,90.12
2023-01-03 16:15:00,83.67,0.0,0.0,83.67
2023-01-03 16:30:00,75.61,0.0,0.0,75.61
2023-01-03 16:45:00,73.85,0.0,0.0,73.85
2023-01-03 17:00:00,68.69,0.0,0.0,68.69
2023-01-03 17:15:00,67.04,0.0,0.0,67.04
2023-01-03 17:30:00,73.16,0.0,0.0,73.16
2023-01-03 17:45:00,77.62,0.0,0.0,77.62
2023-01-03 18:00:00,84.75,0.0,0.0,84.75
2023-01-03 18:15:00,90.09,0.0,0.0,90.09
2023-01-03 18:30:00,92.11,0.0,0.0,92.11
2023-01-03 18:45:00,89.59,0.0,0.0,89.59
2023-01-03 19:00:00,89.3,0.0,0.0,89.3
2023-01-03 19:15:00,91.2,0.0,0.0,91.2
2023-01-03 19:30:00,97.54,0.0,0.0,97.54
2023-01-03 19:45:00,94.82,0.0,0.0,94.82
2023-01-03 20:00:00,87.2,0.0,0.0,87.2
2023-01-03 20:15:00,83.75,0.0,0.0,83.75
2023-01-03 20:30:00,87.56,0.0,0.0,87.56
2023-01-03 20:45:00,82.14,0.0,0.0,82.14
2023-01-03 21:00:00,82.58,0.0,0.0,82.58
2023-01-03 21:15:00,79.35,0.0,0.0,79.35
2023-01-03 21:30:00,82.32,0.0,0.0,82.32
2023-01-03 21:45:00,79.16,0.0,0.0,79.16
2023-01-03 22:00:00,0.0,77.82,0.0,77.82
2023-01-03 22:15:00,0.0,73.29,0.0,73.29
2023-01-03 22:30:00,0.0,77.4,0.0,77.4
2023-01-03 22:45:00,0.0,73.7,0.0,73.7
2023-01-03 23:00:00,0.0,70.37,0.0,70.37
2023-01-03 23:15:00,0.0,69.67,0.0,69.67
2023-01-03 23:30:00,0.0,67.87,0.0,67.87
2023-01-03 23:45:00,0.0,67.17,0.0,67.17
2023-01-04 00:00:00,0.0,65.77,0.0,65.77
2023-01-04 00:15:00,0.0,65.19,0.0,65.19
2023-01-04 00:30:00,0.0,64.85,0.0,64.85
2023-01-04 00:45:00,0.0,68.82,0.0,68.82
2023-01-04 01:00:00,0.0,64.77,0.0,64.77
2023-01-04 01:15:00,0.0,63.45,0.0,63.45
2023-01-04 01:30:00,0.0,63.64,0.0,63.64
2023-01-04 01:45:00,0.0,66.77,0.0,66.77
2023-01-04 02:00:00,0.0,64.58,0.0,64.58
2023-01-04 02:15:00,0.0,63.96,0.0,63.96
2023-01-04 02:30:00,0.0,66.27,0.0,66.27
2023-01-04 02:45:00,0.0,68.21,0.0,68.21
2023-01-04 03:00:00,0.0,67.85,0.0,67.85
2023-01-04 03:15:00,0.0,65.32,0.0,65.32
2023-01-04 03:30:00,0.0,65.27,0.0,65.27
2023-01-04 03:45:00,0.0,64.61,0.0,64.61
2023-01-04 04:00:00,0.0,67.14,0.0,67.14
2023-01-04 04:15:00,0.0,63.45,0.0,63.45
2023-01-04 04:30:00,0.0,62.63,0.0,62.63
2023-01-04 04:45:00,0.0,61.98,0.0,61.98
2023-01-04 05:00:00,0.0,63.87,0.0,63.87
2023-01-04 05:15:00,0.0,65.22,0.0,65.22
2023-01-04 05:30:00,0.0,64.43,0.0,64.43
2023-01-04 05:45:00,0.0,67.53,0.0,67.53
2023-01-04 06:00:00,0.0,70.24,0.0,70.24
2023-01-04 06:15:00,0.0,71.59,0.0,71.59
2023-01-04 06:30:00,0.0,71.12,0.0,71.12
2023-01-04 06:45:00,0.0,70.01,0.0,70.01
2023-01-04 07:00:00,0.0,70.29,0.0,70.29
2023-01-04 07:15:00,0.0,74.32,0.0,74.32
2023-01-04 07:30:00,0.0,70.64,0.0,70.64
2023-01-04 07:45:00,0.0,72.08,0.0,72.08
2023-01-04 08:00:00,0.0,79.56,0.0,79.56
2023-01-04 08:15:00,0.0,86.19,0.0,86.19
2023-01-04 08:30:00,0.0,82.59,0.0,82.59
2023-01-04 08:45:00,0.0,87.9,0.0,87.9
2023-01-04 09:00:00,89.38,0.0,0.0,89.38
2023-01-04 09:15:00,85.67,0.0,0.0,85.67
2023-01-04 09:30:00,91.14,0.0,0.0,91.14
2023-01-04 09:45:00,92.74,0.0,0.0,92.74
2023-01-04 10:00:00,91.27,0.0,0.0,91.27
2023-01-04 10:15:00,92.62,0.0,0.0,92.62
2023-01-04 10:30:00,92.19,0.0,0.0,92.19
2023-01-04 10:45:00,88.54,0.0,0.0,88.54
2023-01-04 11:00:00,87.2,0.0,0.0,87.2
2023-01-04 11:15:00,83.25,0.0,0.0,83.25
2023-01-04 11:30:00,87.19,0.0,0.0,87.19
2023-01-04 11:45:00,81.54,0.0,0.0,81.54
2023-01-04 12:00:00,82.12,0.0,0.0,82.12
2023-01-04 12:15:00,92.61,0.0,0.0,92.61
2023-01-04 12:30:00,100.82,0.0,0.0,100.82
2023-01-04 12:45:00,100.07,0.0,0.0,100.07
2023-01-04 13:00:00,105.54,0.0,0.0,105.54
2023-01-04 13:15:00,110.32,0.0,0.0,110.32
2023-01-04 13:30:00,102.88,0.0,0.0,102.88
2023-01-04 13:45:00,117.86,0.0,0.0,117.86
2023-01-04 14:00:00,109.62,0.0,0.0,109.62
2023-01-04 14:15:00,116.85,0.0,0.0,116.85
2023-01-04 14:30:00,123.69,0.0,0.0,123.69
2023-01-04 14:45:00,126.31,0.0,0.0,126.31
2023-01-04 15:00:00,128.15,0.0,0.0,128.15
2023-01-04 15:15:00,122.96,0.0,0.0,122.96
2023-01-04 15:30:00,111.51,0.0,0.0,111.51
2023-01-04 15:45:00,108.28,0.0,0.0,108.28
2023-01-04 16:00:00,102.59,0.0,0.0,102.59
2023-01-04 16:15:00,91.93,0.0,0.0,91.93
2023-01-04 16:30:00,84.28,0.0,0.0,84.28
2023-01-04 16:45:00,81.01,0.0,0.0,81.01
2023-01-04 17:00:00,80.12,0.0,0.0,80.12
2023-01-04 17:15:00,75.4,0.0,0.0,75.4
2023-01-04 17:30:00,78.16,0.0,0.0,78.16
2023-01-04 17:45:00,83.04,0.0,0.0,83.04
2023-01-04 18:00:00,89.03,0.0,0.0,89.03
2023-01-04 18:15:00,100.03,0.0,0.0,100.03
2023-01-04 18:30:00,104.2,0.0,0.0,104.2
2023-01-04 18:45:00,103.59,0.0,0.0,103.59
2023-01-04 19:00:00,99.96,0.0,0.0,99.96
2023-01-04 19:15:00,95.54,0.0,0.0,95.54
2023-01-04 19:30:00,97.32,0.0,0.0,97.32
2023-01-04 19:45:00,90.59,0.0,0.0,90.59
2023-01-04 20:00:00,86.01,0.0,0.0,86.01
2023-01-04 20:15:00,84.82,0.0,0.0,84.82
2023-01-04 20:30:00,88.12,0.0,0.0,88.12
2023-01-04 20:45:00,81.77,0.0,0.0,81.77
2023-01-04 21:00:00,83.2,0.0,0.0,83.2
2023-01-04 21:15:00,85.62,0.0,0.0,85.62
2023-01-04 21:30:00,79.91,0.0,0.0,79.91
2023-01-04 21:45:00,79.54,0.0,0.0,79.54
2023-01-04 22:00:00,0.0,80.3,0.0,80.3
2023-01-04 22:15:00,0.0,80.06,0.0,80.06
2023-01-04 22:30:00,0.0,75.8,0.0,75.8
2023-01-04 22:45:00,0.0,72.51,0.0,72.51
2023-01-04 23:00:00,0.0,72.53,0.0,72.53
2023-01-04 23:15:00,0.0,72.61,0.0,72.61
2023-01-04 23:30:00,0.0,69.9,0.0,69.9
2023-01-04 23:45:00,0.0,71.06,0.0,71.06
2023-01-05 00:00:00,0.0,69.96,0.0,69.96
2023-01-05 00:15:00,0.0,69.41,0.0,69.41
2023-01-05 00:30:00,0.0,69.96,0.0,69.96
2023-01-05 00:45:00,0.0,64.88,0.0,64.88
2023-01-05 01:00:00,0.0,66.19,0.0,66.19
2023-01-05 01:15:00,0.0,67.04,0.0,67.04
2023-01-05 01:30:00,0.0,63.79,0.0,63.79
2023-01-05 01:45:00,0.0,63.51,0.0,63.51
2023-01-05 02:00:00,0.0,64.74,0.0,64.74
2023-01-05 02:15:00,0.0,66.46,0.0,66.46
2023-01-05 02:30:00,0.0,63.37,0.0,63.37
2023-01-05 02:45:00,0.0,63.62,0.0,63.62
2023-01-05 03:00:00,0.0,66.22,0.0,66.22
2023-01-05 03:15:00,0.0,65.33,0.0,65.33
2023-01-05 03:30:00,0.0,63.14,0.0,63.14
2023-01-05 03:45:00,0.0,63.5,0.0,63.5
2023-01-05 04:00:00,0.0,66.01,0.0,66.01
2023-01-05 04:15:00,0.0,65.0,0.0,65.0
2023-01-05 04:30:00,0.0,63.88,0.0,63.88
2023-01-05 04:45:00,0.0,63.22,0.0,63.22
2023-01-05 05:00:00,0.0,66.27,0.0,66.27
2023-01-05 05:15:00,0.0,62.35,0.0,62.35
2023-01-05 05:30:00,0.0,63.33,0.0,63.33
2023-01-05 05:45:00,0.0,69.45,0.0,69.45
2023-01-05 06:00:00,0.0,74.88,0.0,74.88
2023-01-05 06:15:00,0.0,71.77,0.0,71.77
2023-01-05 06:30:00,0.0,72.12,0.0,72.12
2023-01-05 06:45:00,0.0,69.82,0.0,69.82
2023-01-05 07:00:00,0.0,70.06,0.0,70.06
2023-01-05 07:15:00,0.0,68.17,0.0,68.17
2023-01-05 07:30:00,0.0,67.27,0.0,67.27
2023-01-05 07:45:00,0.0,73.43,0.0,73.43
2023-01-05 08:00:00,0.0,76.03,0.0,76.03
2023-01-05 08:15:00,0.0,81.06,0.0,81.06
2023-01-05 08:30:00,0.0,80.37,0.0,80.37
2023-01-05 08:45:00,0.0,86.72,0.0,86.72
2023-01-05 09:00:00,86.88,0.0,0.0,86.88
2023-01-05 09:15:00,86.95,0.0,0.0,86.95
2023-01-05 09:30:00,93.85,0.0,0.0,93.85
2023-01-05 09:45:00,93.9,0.0,0.0,93.9
2023-01-05 10:00:00,98.01,0.0,0.0,98.01
2023-01-05 10:15:00,92.16,0.0,0.0,92.16
2023-01-05 10:30:00,91.49,0.0,0.0,91.49
2023-01-05 10:45:00,93.77,0.0,0.0,93.77
2023-01-05 11:00:00,87.49,0.0,0.0,87.49
2023-01-05 11:15:00,86.59,0.0,0.0,86.59
2023-01-05 11:30:00,87.8,0.0,0.0,87.8
2023-01-05 11:45:00,85.99,0.0,0.0,85.99
2023-01-05 12:00:00,87.22,0.0,0.0,87.22
2023-01-05 12:15:00,97.59,0.0,0.0,97.59
2023-01-05 12:30:00,102.01,0.0,0.0,102.01
2023-01-05 12:45:00,105.96,0.0,0.0,105.96
2023-01-05 13:00:00,107.12,0.0,0.0,107.12
2023-01-05 13:15:00,122.28,0.0,0.0,122.28
2023-01-05 13:30:00,116.06,0.0,0.0,116.06
2023-01-05 13:45:00,123.44,0.0,0.0,123.44
2023-01-05 14:00:00,133.22,0.0,0.0,133.22
2023-01-05 14:15:00,139.64,0.0,0.0,139.64
2023-01-05 14:30:00,135.85,0.0,0.0,135.85
2023-01-05 14:45:00,123.06,0.0,0.0,123.06
2023-01-05 15:00:00,123.15,0.0,0.0,123.15
2023-01-05 15:15:00,136.17,0.0,0.0,136.17
2023-01-05 15:30:00,120.77,0.0,0.0,120.77
2023-01-05 15:45:00,117.38,0.0,0.0,117.38
2023-01-05 16:00:00,118.23,0.0,0.0,118.23
2023-01-05 16:15:00,110.82,0.0,0.0,110.82
2023-01-05 16:30:00,99.95,0.0,0.0,99.95
2023-01-05 16:45:00,97.83,0.0,0.0,97.83
2023-01-05 17:00:00,86.33,0.0,0.0,86.33
2023-01-05 17:15:00,81.58,0.0,0.0,81.58
2023-01-05 17:30:00,83.03,0.0,0.0,83.03
2023-01-05 17:45:00,85.3,0.0,0.0,85.3
2023-01-05 18:00:00,96.36,0.0,0.0,96.36
2023-01-05 18:15:00,101.72,0.0,0.0,101.72
2023-01-05 18:30:00,107.61,0.0,0.0,107.61
2023-01-05 18:45:00,96.57,0.0,0.0,96.57
2023-01-05 19:00:00,95.4,0.0,0.0,95.4
2023-01-05 19:15:00,93.45,0.0,0.0,93.45
2023-01-05 19:30:00,94.48,0.0,0.0,94.48
2023-01-05 19:45:00,95.32,0.0,0.0,95.32
2023-01-05 20:00:00,90.37,0.0,0.0,90.37
2023-01-05 20:15:00,92.4,0.0,0.0,92.4
2023-01-05 20:30:00,92.04,0.0,0.0,92.04
2023-01-05 20:45:00,87.37,0.0,0.0,87.37
2023-01-05 21:00:00,84.4,0.0,0.0,84.4
2023-01-05 21:15:00,90.06,0.0,0.0,90.06
2023-01-05 21:30:00,86.85,0.0,0.0,86.85
2023-01-05 21:45:00,82.12,0.0,0.0,82.12
2023-01-05 22:00:00,0.0,79.8,0.0,79.8
2023-01-05 22:15:00,0.0,81.24,0.0,81.24
2023-01-05 22:30:00,0.0,81.74,0.0,81.74
2023-01-05 22:45:00,0.0,78.2,0.0,78.2
2023-01-05 23:00:00,0.0,75.67,0.0,75.67
2023-01-05 23:15:00,0.0,76.32,0.0,76.32
2023-01-05 23:30:00,0.0,72.83,0.0,72.83
