Date,Load,Load1,kWh,Load2,kWh,Load3,kWh
11/1/2022 4.00,0,0,422312.5,0,405520.5,0,128463.9
11/1/2022 5.00,31.95,0,422312.5,31.95,405552.45,0,128463.9
11/1/2022 6.00,31.95,0,422312.5,31.95,405584.4,0,128463.9
11/1/2022 7.00,31.95,0,422312.5,31.95,405616.35,0,128463.9
11/1/2022 8.00,31.95,0,422312.5,31.95,405648.3,0,128463.9
11/1/2022 9.00,115.075,0,422312.5,115.075,405763.375,0,128463.9
11/1/2022 10.00,115.075,0,422312.5,115.075,405878.45,0,128463.9
11/1/2022 11.00,115.075,0,422312.5,115.075,405993.525,0,128463.9
11/1/2022 12.00,115.075,0,422312.5,115.075,406108.6,0,128463.9
11/1/2022 13.00,115.15,0,422312.5,115.15,406223.75,0,128463.9
11/1/2022 14.00,115.15,0,422312.5,115.15,406338.9,0,128463.9
11/1/2022 15.00,115.15,0,422312.5,115.15,406454.05,0,128463.9
11/1/2022 16.00,115.15,0,422312.5,115.15,406569.2,0,128463.9
11/1/2022 17.00,27.775,0,422312.5,27.775,406596.975,0,128463.9
11/1/2022 18.00,27.775,0,422312.5,27.775,406624.75,0,128463.9
11/1/2022 19.00,27.775,0,422312.5,27.775,406652.525,0,128463.9
11/1/2022 20.00,27.775,0,422312.5,27.775,406680.3,0,128463.9
11/1/2022 21.00,0,0,422312.5,0,406680.3,0,128463.9
11/1/2022 22.00,0,0,422312.5,0,406680.3,0,128463.9
11/1/2022 23.00,0,0,422312.5,0,406680.3,0,128463.9
12/1/2022 0.00,0,0,422312.5,0,406680.3,0,128463.9
12/1/2022 1.00,0,0,422312.5,0,406680.3,0,128463.9
12/1/2022 2.00,0,0,422312.5,0,406680.3,0,128463.9
12/1/2022 3.00,0,0,422312.5,0,406680.3,0,128463.9
12/1/2022 4.00,0,0,422312.5,0,406680.3,0,128463.9
12/1/2022 5.00,32.225,0,422312.5,32.225,406712.525,0,128463.9
12/1/2022 6.00,32.225,0,422312.5,32.225,406744.75,0,128463.9
12/1/2022 7.00,32.225,0,422312.5,32.225,406776.975,0,128463.9
12/1/2022 8.00,32.225,0,422312.5,32.225,406809.2,0,128463.9
12/1/2022 9.00,115.25,0,422312.5,115.25,406924.45,0,128463.9
12/1/2022 10.00,115.25,0,422312.5,115.25,407039.7,0,128463.9
12/1/2022 11.00,115.25,0,422312.5,115.25,407154.95,0,128463.9
12/1/2022 12.00,115.25,0,422312.5,115.25,407270.2,0,128463.9
12/1/2022 13.00,115.05,0,422312.5,115.05,407385.25,0,128463.9
12/1/2022 14.00,115.05,0,422312.5,115.05,407500.3,0,128463.9
12/1/2022 15.00,115.05,0,422312.5,115.05,407615.35,0,128463.9
12/1/2022 16.00,115.05,0,422312.5,115.05,407730.4,0,128463.9
12/1/2022 17.00,26.6,0,422312.5,26.6,407757,0,128463.9
12/1/2022 18.00,26.6,0,422312.5,26.6,407783.6,0,128463.9
12/1/2022 19.00,26.6,0,422312.5,26.6,407810.2,0,128463.9
12/1/2022 20.00,26.6,0,422312.5,26.6,407836.8,0,128463.9
12/1/2022 21.00,0,0,422312.5,0,407836.8,0,128463.9
12/1/2022 22.00,0,0,422312.5,0,407836.8,0,128463.9
12/1/2022 23.00,0,0,422312.5,0,407836.8,0,128463.9
13/1/2022 0.00,0,0,422312.5,0,407836.8,0,128463.9
13/1/2022 1.00,0,0,422312.5,0,407836.8,0,128463.9
13/1/2022 2.00,0,0,422312.5,0,407836.8,0,128463.9
13/1/2022 3.00,0,0,422312.5,0,407836.8,0,128463.9
13/1/2022 4.00,0,0,422312.5,0,407836.8,0,128463.9
13/1/2022 5.00,30.375,0,422312.5,30.375,407867.175,0,128463.9
13/1/2022 6.00,30.375,0,422312.5,30.375,407897.55,0,128463.9
13/1/2022 7.00,30.375,0,422312.5,30.375,407927.925,0,128463.9
13/1/2022 8.00,30.375,0,422312.5,30.375,407958.3,0,128463.9
13/1/2022 9.00,115.05,0,422312.5,115.05,408073.35,0,128463.9
13/1/2022 10.00,115.05,0,422312.5,115.05,408188.4,0,128463.9
13/1/2022 11.00,115.05,0,422312.5,115.05,408303.45,0,128463.9
13/1/2022 12.00,115.05,0,422312.5,115.05,408418.5,0,128463.9
13/1/2022 13.00,96.925,0,422312.5,96.925,408515.425,0,128463.9
13/1/2022 14.00,96.925,0,422312.5,96.925,408612.35,0,128463.9
13/1/2022 15.00,96.925,0,422312.5,96.925,408709.275,0,128463.9
13/1/2022 16.00,96.925,0,422312.5,96.925,408806.2,0,128463.9
13/1/2022 17.00,0,0,422312.5,0,408806.2,0,128463.9
13/1/2022 18.00,0,0,422312.5,0,408806.2,0,128463.9
13/1/2022 19.00,0,0,422312.5,0,408806.2,0,128463.9
13/1/2022 20.00,0,0,422312.5,0,408806.2,0,128463.9
13/1/2022 21.00,0,0,422312.5,0,408806.2,0,128463.9
13/1/2022 22.00,0,0,422312.5,0,408806.2,0,128463.9
13/1/2022 23.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 0.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 1.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 2.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 3.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 4.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 5.00,0,0,422312.5,0,408806.2,0,128463.9
