Curve_Robinson Lifestyle Ratchaphruek_20240610174304
Time,Meter2(52757)/Meter Active Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Load Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Plant Power(kW)
2023-11-07 13:00:00,2787.77,3736.827,949.057
2023-11-07 13:30:00,2445.177,3691.723,1246.546
2023-11-07 14:00:00,2587.217,3689.333,1102.116
2023-11-07 14:30:00,2455.089,3569.679,1114.59
2023-11-07 15:00:00,2510.163,3530.461,1020.298
2023-11-07 15:30:00,2875.533,3636.764,761.231
2023-11-07 16:00:00,3099.266,3705.439,606.173
2023-11-07 16:30:00,3274.099,3810.194,536.095
2023-11-07 17:00:00,3324.31,3802.541,478.231
2023-11-07 17:30:00,3960.034,3978.029,17.995
2023-11-07 18:00:00,4023.968,4023.968,0
2023-11-07 18:30:00,3853.349,3853.349,0
2023-11-07 19:00:00,3565.386,3565.386,0
2023-11-07 19:30:00,3668.639,3668.639,0
2023-11-07 20:00:00,3508.885,3508.885,0
2023-11-07 20:30:00,3485.383,3485.383,0
2023-11-07 21:00:00,2892.181,2892.181,0
2023-11-07 21:30:00,2648.703,2648.703,0
2023-11-07 22:00:00,2368.703,2368.703,0
2023-11-07 22:30:00,1533.952,1533.952,0
2023-11-07 23:00:00,1307.084,1307.084,0
2023-11-07 23:30:00,1237.086,1237.086,0
2023-11-08 00:00:00,748.551,748.551,0
2023-11-08 00:30:00,680.959,680.959,0
2023-11-08 01:00:00,568.353,568.353,0
2023-11-08 01:30:00,566.416,566.416,0
2023-11-08 02:00:00,516.019,516.019,0
2023-11-08 02:30:00,515.193,515.193,0
2023-11-08 03:00:00,498.617,498.617,0
2023-11-08 03:30:00,521.192,521.192,0
2023-11-08 04:00:00,424.489,424.489,0
2023-11-08 04:30:00,416.15,416.15,0
2023-11-08 05:00:00,437.445,437.445,0
2023-11-08 05:30:00,422.496,422.496,0
2023-11-08 06:00:00,433.832,433.832,0
2023-11-08 06:30:00,443.4,463.892,20.492
2023-11-08 07:00:00,382.671,447.891,65.22
2023-11-08 07:30:00,215.422,438.979,223.557
2023-11-08 08:00:00,111.223,554.012,442.789
2023-11-08 08:30:00,-41.051,624.723,665.774
2023-11-08 09:00:00,-66.088,761.217,827.305
2023-11-08 09:30:00,-75.947,929.373,1005.32
2023-11-08 10:00:00,-57.388,1024.652,1082.04
2023-11-08 10:30:00,755.869,1959.786,1203.917
2023-11-08 11:00:00,2090.717,3332.66,1241.943
2023-11-08 11:30:00,2031.345,3435.312,1403.967
2023-11-08 12:00:00,2049.847,3414.033,1364.186
2023-11-08 12:30:00,2469.447,3820.067,1350.62
2023-11-08 13:00:00,3400.236,3795.38,395.144
2023-11-08 13:30:00,2574.748,3657.533,1082.785
2023-11-08 14:00:00,2005.528,3438.052,1432.524
2023-11-08 14:30:00,3440.308,3760.006,319.698
2023-11-08 15:00:00,3044.817,3717.566,672.749
2023-11-08 15:30:00,3053.276,3645.986,592.71
2023-11-08 16:00:00,3778.263,3898.681,120.418
2023-11-08 16:30:00,3569.912,3723.909,153.997
2023-11-08 17:00:00,3594.399,3749.492,155.093
2023-11-08 17:30:00,3764.106,3849.911,85.805
2023-11-08 18:00:00,3932.009,3932.018,0.009
2023-11-08 18:30:00,3907.335,3907.335,0
2023-11-08 19:00:00,3875.405,3875.405,0
2023-11-08 19:30:00,3684.746,3684.746,0
2023-11-08 20:00:00,3626.604,3626.604,0
2023-11-08 20:30:00,3580.832,3580.832,0
2023-11-08 21:00:00,3523.863,3523.863,0
2023-11-08 21:30:00,2666.334,2666.334,0
2023-11-08 22:00:00,2480.277,2480.277,0
2023-11-08 22:30:00,1586.336,1586.336,0
2023-11-08 23:00:00,1471.423,1471.423,0
2023-11-08 23:30:00,788.167,788.167,0
2023-11-09 00:00:00,845.775,845.775,0
2023-11-09 00:30:00,717.824,717.824,0
2023-11-09 01:00:00,592.979,592.979,0
2023-11-09 01:30:00,590.115,590.115,0
2023-11-09 02:00:00,533.797,533.797,0
2023-11-09 02:30:00,529.523,529.523,0
2023-11-09 03:00:00,532.38,532.38,0
2023-11-09 03:30:00,531.424,531.424,0
2023-11-09 04:00:00,460.957,460.957,0
