Curve_Robinson Lifestyle Ratchaphruek_20240610174044,,,
Time,Meter2(52757)/Meter Active Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Load Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Plant Power(kW)
10/5/2023 0:00,1142.7,1142.7,0
10/5/2023 0:30,608.04,608.04,0
10/5/2023 1:00,593.504,593.504,0
10/5/2023 1:30,595.467,595.467,0
10/5/2023 2:00,547.897,547.897,0
10/5/2023 2:30,544.677,544.677,0
10/5/2023 3:00,551.623,551.623,0
10/5/2023 3:30,514.025,514.025,0
10/5/2023 4:00,424.06,424.06,0
10/5/2023 4:30,426.91,426.91,0
10/5/2023 5:00,439.948,439.948,0
10/5/2023 5:30,406.174,406.174,0
10/5/2023 6:00,377.676,382.711,5.035
10/5/2023 6:30,311.924,401.954,90.03
10/5/2023 7:00,123.802,401.215,277.413
10/5/2023 7:30,-15.487,378.559,394.046
10/5/2023 8:00,-131.669,521.248,652.917
10/5/2023 8:30,-209.513,609.078,818.591
10/5/2023 9:00,-264.812,778.304,1043.116
10/5/2023 9:30,2099.441,2592.261,492.82
10/5/2023 10:00,1556.497,3014.048,1457.551
10/5/2023 10:30,2257.636,3774.627,1516.991
10/5/2023 11:00,2296.43,3753.577,1457.147
10/5/2023 11:30,3110.576,3772.16,661.584
10/5/2023 12:00,2262.323,3504.509,1242.186
10/5/2023 12:30,3236.286,3692.53,456.244
10/5/2023 13:00,3833.555,3894.992,61.437
10/5/2023 13:30,3793.651,3889.661,96.01
10/5/2023 14:00,3632.772,3784.193,151.421
10/5/2023 14:30,3555.23,3792.907,237.677
10/5/2023 15:00,3424.336,3742.242,317.906
10/5/2023 15:30,3365.199,3750.313,385.114
10/5/2023 16:00,3189.161,3486.356,297.195
10/5/2023 16:30,2997.078,3542.965,545.887
10/5/2023 17:00,3465.87,3675.39,209.52
10/5/2023 17:30,3676.5,3766.712,90.212
10/5/2023 18:00,3751.173,3810.807,59.634
10/5/2023 18:30,3855.654,3868.511,12.857
10/5/2023 19:00,3921.78,3921.78,0
10/5/2023 19:30,3918.963,3918.963,0
10/5/2023 20:00,3890.83,3890.83,0
10/5/2023 20:30,3760.828,3760.828,0
10/5/2023 21:00,3592.824,3592.824,0
10/5/2023 21:30,2818.171,2818.171,0
10/5/2023 22:00,2510.69,2510.69,0
10/5/2023 22:30,1821.764,1821.764,0
10/5/2023 23:00,790.975,790.975,0
10/5/2023 23:30,704.562,704.562,0
11/5/2023 0:00,744.63,744.63,0
11/5/2023 0:30,1375.581,1375.581,0
11/5/2023 1:00,715.674,715.674,0
11/5/2023 1:30,563.522,563.522,0
11/5/2023 2:00,507.312,507.312,0
11/5/2023 2:30,479.404,479.404,0
11/5/2023 3:00,503.468,503.468,0
11/5/2023 3:30,507.823,507.823,0
11/5/2023 4:00,444.131,444.131,0
11/5/2023 4:30,439.856,439.856,0
11/5/2023 5:00,413.476,413.476,0
11/5/2023 5:30,389.17,389.17,0
11/5/2023 6:00,421.8,424.519,2.719
